Sex,WrHnd,NWHnd,WHnd,Fold,Pulse,Clap,Exer,Smoke,Height,MI,Age
Male,18.8,19.1,Right,L on R,66,Neither,Frequent,Regular,178.5,Metric,18.083
Female,17.5,17,Right,R on L,74,Right,Frequent,Never,157,Metric,18
Female,16.4,16.5,Right,L on R,90,Right,Some,Never,152,Metric,18.333
Male,22,21.5,Right,R on L,86,Right,Frequent,Never,187.96,Imperial,20
Male,19,19.5,Right,L on R,60,Right,Some,Never,178,Metric,18.75
Female,18.9,20,Right,R on L,86,Right,Some,Never,,,19.083
Female,15.4,16.4,Left,L on R,80,Left,Frequent,Occasional,160.02,Imperial,18.5
Male,17.9,17.8,Right,R on L,85,Left,Some,Never,175.26,Imperial,18.417
Male,23.1,22.5,Right,L on R,90,Right,Some,Regular,189,Metric,19.167
,19.8,19,Left,L on R,73,Neither,Frequent,Never,172,Metric,21.5
Male,22,22,Right,L on R,72,Right,Frequent,Never,182.88,Imperial,19.333
Male,20,19.5,Right,L on R,,Right,Frequent,Never,170,Metric,21.417
Female,19.5,18.5,Right,L on R,68,Right,None,Never,167,Metric,18.667
Female,18,18.6,Right,R on L,84,Right,Some,Never,175,Metric,17.5
Female,18.3,19,Right,R on L,,Right,None,Never,165,Metric,21.083
Female,19,18.8,Right,R on L,65,Right,Frequent,Never,172.72,Imperial,17.25
Male,21.4,21,Right,L on R,96,Neither,Some,Never,180,Metric,19
Female,20,19.5,Left,R on L,68,Neither,Frequent,Never,172,Metric,19.167
Male,18.5,18.5,Right,R on L,75,Neither,Some,Never,185,Metric,19
Male,22.5,22.6,Right,L on R,64,Right,Frequent,Regular,187.96,Imperial,23
Male,19.5,20.2,Right,R on L,60,Neither,Frequent,Never,185.42,Imperial,32.667
Female,18,18,Right,L on R,92,Neither,Frequent,Never,165,Metric,20
Female,18,18.5,Right,R on L,64,Neither,Frequent,Never,164,Metric,20.167
Male,21.8,22.3,Right,R on L,76,Left,Frequent,Never,195,Metric,25.5
Female,13,12.5,Right,L on R,80,Right,Frequent,Never,165,Metric,18.167
Female,16.3,16.2,Right,L on R,92,Right,Some,Regular,152.4,Imperial,23.5
Male,21.5,21.6,Right,R on L,69,Right,Frequent,Never,172.72,Imperial,70.417
Male,18.9,19.1,Right,L on R,68,Right,None,Never,180.34,Imperial,43.833
Male,20.5,20,Right,R on L,76,Right,Frequent,Never,173,Metric,23.583
Male,14,15.5,Right,L on R,,Neither,Frequent,Heavy,,,21.083
Female,18.9,19.2,Right,L on R,74,Right,Some,Never,167.64,Imperial,44.25
Male,20,20.5,Right,R on L,,Right,None,Never,187.96,Imperial,19.667
Male,18.5,19,Right,L on R,84,Right,Frequent,Regular,187,Metric,17.917
Female,17.5,17.1,Right,R on L,80,Left,None,Never,167,Metric,18.417
Male,18.1,18.2,Left,Neither,,Right,Some,Never,168,Metric,21.167
Male,20.2,20.3,Right,L on R,72,Neither,Some,Never,191.8,Imperial,17.5
Female,16.5,16.9,Right,R on L,60,Neither,Frequent,Occasional,169.2,Metric,29.083
Male,19.1,19.1,Right,Neither,,Right,Some,Never,177,Metric,19.917
Female,17.6,17.2,Right,R on L,81,Left,Some,Never,168,Metric,18.5
Female,19.5,19.2,Right,R on L,70,Right,Some,Never,170,Metric,18.167
Female,16.5,15,Right,L on R,65,Right,Some,Regular,160.02,Imperial,32.75
Male,19,18.5,Right,L on R,,Neither,Frequent,Never,189,Metric,17.417
Male,19,18.5,Right,R on L,72,Right,Frequent,Never,180.34,Imperial,17.333
Female,16.5,17,Right,L on R,,Right,Some,Never,168,Metric,73
Male,20.5,19.5,Left,L on R,80,Right,Some,Occasional,182.88,Imperial,18.667
Female,15.5,15.5,Right,Neither,50,Right,Some,Regular,,,18.5
Female,18,17.5,Right,R on L,48,Neither,Frequent,Never,165,Metric,18.667
Female,17.5,18,Right,R on L,68,Neither,Frequent,Never,157.48,Imperial,17.75
Female,19,18.5,Left,L on R,104,Left,Frequent,Never,170,Metric,17.25
Male,20.5,20.5,Right,Neither,76,Right,Frequent,Regular,172.72,Imperial,36.583
Female,16.7,17,Right,L on R,84,Left,Frequent,Never,164,Metric,23.083
Female,20.5,20.5,Right,R on L,,Left,Frequent,Regular,,,19.25
Female,17,16.5,Right,R on L,70,Right,Some,Never,162.56,Imperial,17.167
Male,19,19.5,Right,R on L,68,Right,Frequent,Occasional,172,Metric,23.417
Female,14,13.5,Right,R on L,87,Neither,Frequent,Occasional,165.1,Imperial,17.083
Female,17.5,17.6,Right,L on R,79,Right,Some,Never,162.5,Metric,17.25
Male,18.5,19,Right,L on R,70,Left,Frequent,Never,170,Metric,23.833
Male,18,18.5,Right,Neither,90,Right,Some,Never,175,Metric,18.75
Male,20.5,20.7,Right,R on L,72,Right,Some,Never,168,Metric,21.167
Female,17,17,Right,L on R,79,Right,Some,Never,163,Metric,24.667
Male,18.5,18.5,Right,R on L,65,Right,None,Never,165,Metric,18.5
Male,18,18.5,Right,R on L,62,Right,Frequent,Never,173,Metric,20.333
Male,18.5,18,Right,Neither,63,Neither,Frequent,Never,196,Metric,20.083
Male,20,19.5,Right,R on L,92,Right,Some,Never,179.1,Imperial,18.917
Male,22,22.5,Right,L on R,60,Right,Some,Never,180,Metric,27.333
Male,17.9,18.4,Right,R on L,68,Left,None,Occasional,176,Metric,18.917
Female,17.6,17.8,Right,L on R,72,Left,Some,Never,160.02,Imperial,17.25
Female,16.7,15.1,Right,Neither,,Right,None,Never,157.48,Imperial,18.167
Female,17,17.6,Right,L on R,76,Right,Some,Never,165,Metric,26.5
Female,15,13,Right,R on L,80,Neither,Frequent,Never,170.18,Imperial,17
Male,16,15.5,Right,Neither,71,Right,Frequent,Never,154.94,Imperial,17.167
Female,19.1,19,Right,R on L,80,Right,Some,Occasional,170,Metric,19.167
Female,17.5,16.5,Right,R on L,80,Neither,Some,Never,164,Metric,17.5
Female,16.2,15.8,Right,R on L,61,Right,Some,Occasional,167,Metric,19.25
Male,21,21,Right,L on R,48,Neither,Frequent,Never,174,Metric,21.333
Female,18.8,17.8,Right,R on L,76,Right,Some,Never,,,18.583
Female,18.5,18,Right,Neither,86,Right,None,Never,160,Metric,20.167
Male,17,17.5,Right,R on L,80,Right,Some,Regular,179.1,Metric,18.667
Female,17.5,17,Right,R on L,83,Neither,Frequent,Occasional,168,Metric,17.083
Female,17.5,17.6,Right,L on R,76,Right,Some,Never,153.5,Metric,17.417
Male,17.5,17.6,Right,R on L,84,Right,Some,Never,160,Metric,18.583
Male,17.5,17,Left,L on R,97,Neither,None,Never,165,Metric,19.5
Female,20.8,20.7,Right,R on L,,Neither,Frequent,Never,171.5,Metric,18.5
Female,18.6,18.6,Right,L on R,74,Right,Some,Never,160,Metric,17.167
Female,17.5,17.5,Left,R on L,83,Neither,Some,Never,163,Metric,17.25
Male,18,18.5,Right,R on L,78,Right,Frequent,Never,,,17.5
Male,17,17.5,Right,R on L,65,Right,Some,Never,165,Metric,20.417
Female,18,17.8,Right,L on R,68,Right,Some,Never,168.9,Imperial,17.083
Male,19.5,20,Right,Neither,,Right,Some,Never,170,Metric,21.25
Female,16.3,16.2,Right,L on R,,Right,None,Never,,,19.25
Male,18.2,19.8,Right,R on L,88,Right,Frequent,Never,185,Metric,19.333
Female,17,17.3,Right,L on R,,Neither,Frequent,Never,173,Metric,19.167
Male,23.2,23.2,Right,L on R,75,Right,Frequent,Never,188,Metric,18.917
Male,23.2,23.3,Right,L on R,,Right,None,Heavy,171,Metric,20.917
Female,15.9,16.5,Right,R on L,70,Right,Frequent,Never,167.64,Imperial,17.333
Female,17.5,18.4,Right,R on L,88,Right,Some,Never,162.56,Imperial,18.167
Female,17.5,17.6,Right,L on R,,Right,Frequent,Never,150,Metric,20.75
Female,17.6,17.2,Right,L on R,,Right,Some,Never,,,19.917
Female,17.5,17.8,Right,R on L,96,Right,Some,Never,,,18.667
Female,18.8,18.3,Right,R on L,80,Right,Some,Heavy,170.18,Imperial,18.417
Male,20,19.8,Right,L on R,68,Right,Frequent,Never,185,Metric,17.417
Female,18.6,18.8,Right,L on R,70,Right,Frequent,Regular,167,Metric,20.333
Male,18.6,19.6,Right,L on R,71,Right,Frequent,Occasional,185,Metric,19.333
Female,18.8,18.5,Right,R on L,80,Right,Some,Never,169,Metric,18.167
Male,18,16,Right,R on L,,Right,Some,Never,180.34,Imperial,20.75
Female,18,18,Right,L on R,85,Right,Some,Never,165.1,Imperial,17.667
Female,18.5,18,Right,L on R,88,Right,Some,Never,160,Metric,16.917
Female,17.5,16.5,Right,R on L,,Right,Some,Never,170,Metric,18.583
Male,21,21.5,Right,R on L,90,Right,Some,Never,183,Metric,17.167
Female,17.6,17.3,Right,R on L,85,Right,Frequent,Never,168.5,Metric,17.75
